Job_Title,Position,Employer,Province,Location,Skill,Seniority,Work_Type,Industry_Type,Avg_Salary
Financial and Operational Analysts,Analyst,CloudMD Software & Services Inc - CAN,Remote,Remote,"EXCEL, REASON, DATABASE",ANY,Remote,Technology,51100
Financial and Operational Analysts,Analyst,CloudMD Software & Services Inc - CAN,Quebec,"Remote in Beauceville, Quebec","EXCEL, REASON, DATABASE",ANY,Remote,Technology,51100
Senior Business Intelligence Analysts,Analyst,Canada Life Assurance Company,Ontario,"London, Ontario","POWER BI, EXCEL",Senior,In-Person,Others,68150
Financial and Operational Analysts,Analyst,CloudMD Software & Services Inc - CAN,Prince Edward Island,"Remote in Charlottetown, Prince Edward Island","EXCEL, REASON, DATABASE",ANY,Remote,Technology,51100
Financial and Operational Analysts,Analyst,CloudMD Software & Services Inc - CAN,Remote,Remote,"EXCEL, REASON, DATABASE",ANY,Remote,Technology,51100
Financial and Operational Analysts,Analyst,KeeWee,Remote,Remote,"PYTHON, EXCEL",ANY,Remote,Others,63229
Systems and Data Analysts,System Analyst,Snaplii,Ontario,"Mississauga, Ontario","TABLEAU, MACHINE LEARNING, SQL, DATABASE, EXCEL, SAS, POWER BI, JAVASCRIPT, SPSS",ANY,In-Person,Others,82720
Business and Technical Analysts,Data Analyst,CAE,Quebec,"Saint-Laurent, Quebec","POWER BI, CONFLUENCE",ANY,In-Person,Others,43720.28
Systems and Data Analysts,Data Analyst,Electronic Arts,British Columbia,"Vancouver, British Columbia","SQL, AWS, DATABRICKS, GAP, AZURE, POWER BI, PYTHON",Senior,In-Person,Others,127350
Systems and Data Analysts,Analyst,Ontario Health,Ontario,"Toronto, Ontario",EXCEL,ANY,In-Person,Healthcare,82720
Senior Data Analysts,Data Analyst,CNOOC International,Alberta,"Calgary, Alberta","DATABASE, EXCEL, POWER BI, PYTHON, R, DATABASE",ANY,In-Person,Others,77500
Senior Data Analysts,Data Analyst,Appcast,New Brunswick,"Fredericton, New Brunswick","TABLEAU, MACHINE LEARNING, SQL, EXCEL, PYTHON",ANY,In-Person,Others,77500
Business Systems Analysts,Business Analyst,"Bridgenext, Inc",Remote,Remote,"AZURE, SQL, PYTHON, TABLEAU, EXCEL, DATABRICKS, POWER BI, DATABASE",ANY,Remote,Others,88668.4
Senior Data Analysts,Analyst,Leonardo DRS,Nova Scotia,"Bedford, Nova Scotia",No Specification,ANY,In-Person,Others,77500
Senior Business Analysts,BI Analyst,Autodesk,Ontario,"Toronto, Ontario","TABLEAU, SQL, D3.JS, POWER BI, PYTHON, R",ANY,In-Person,Others,75250
Business and Marketing Analysts,Analyst,Insurance Bureau of Canada,Ontario,"Toronto, Ontario","EXCEL, EXCEL",ANY,In-Person,Insurance,76000
Systems and Data Analysts,Analyst,owl.co,Ontario,"Remote in Toronto, Ontario",No Specification,ANY,Remote,Others,49400
Senior Business Intelligence Analysts,Business Analyst,Ingersoll Rand,Ontario,"Barrie, Ontario",EXCEL,ANY,In-Person,Others,78150
Senior Business Analysts,BI Analyst,Bell,Ontario,"Toronto, Ontario","SQL, CONFLUENCE, SAS, JIRA, TERADATA",ANY,In-Person,Others,75250
Senior Business Analysts,Data Engineer,Loblaw Companies Limited,Ontario,"Brampton, Ontario","SQL, PYTHON, CONFLUENCE, EXCEL, JAVA, TERADATA, JIRA",Senior,In-Person,Technology,75250
Senior Business Intelligence Analysts,Analyst,Dayforce,Remote,Remote,"POWER BI, EXCEL, DATABASE",Senior,Remote,Others,116400
Senior Business Analysts,System Analyst,IG Wealth Management,Ontario,"Toronto, Ontario",SQL,Senior,In-Person,Others,43720.28
Senior Data Analysts,Data Analyst,GFL Environmental,Ontario,"Vaughan, Ontario","SQL, DATABASE, CRYSTAL, EXCEL",ANY,In-Person,Others,77500
Senior Business Intelligence Analysts,Data Specialist,Ramp Group,British Columbia,"Surrey, British Columbia",No Specification,Senior,In-Person,Others,95680
Senior Business Analysts,Business Analyst,Evolution Mining,Ontario,"Red Lake, Ontario",No Specification,Senior,In-Person,Others,75250
Senior Business Analysts,Data Associate,Manulife,Ontario,"Toronto, Ontario",DATABASE,Mid,In-Person,Others,43720.28
Senior Business Intelligence Analysts,Analyst,ErinoakKids Center for Treatment and Development,Ontario,"Mississauga, Ontario","SQL, EXCEL, DATABASE",ANY,In-Person,Construction,78150
Senior Business Intelligence Analysts,Analyst,MNP,Ontario,"Ottawa, Ontario",EXCEL,ANY,In-Person,Others,78150
Financial and Operational Analysts,Analyst,Weyburn Credit Union,Saskatchewan,"Weyburn, Saskatchewan","HTML, TABLEAU, SQL, CSS, PYTHON, JAVASCRIPT, R, POWER BI",ANY,In-Person,Technology,68819.5
Senior Supply Chain Data Analysts,Analyst,City of Winnipeg,Manitoba,"Winnipeg, Manitoba","CRYSTAL, EXCEL, DATABASE",ANY,In-Person,Technology,77750
Business Systems Analysts,System Analyst,TechVest Global Solutions Inc.,Ontario,"Toronto, Ontario",No Specification,ANY,In-Person,Technology,105000
Senior Supply Chain Data Analysts,Risk Analyst,Compest Solutions Inc,Ontario,"Toronto, Ontario","SQL, BIG DATA, HADOOP, PYTHON, JUPYTER",ANY,In-Person,Consulting,112320
Business and Technical Analysts,Analyst,BC Public Service,British Columbia,"Abbotsford, British Columbia",EAGLE,ANY,In-Person,Service,81364.82999999999
Senior Supply Chain Data Analysts,Analyst,Nordia,Quebec,"Laval, Quebec",No Specification,ANY,In-Person,Others,77750
Senior Business Intelligence Analysts,Data Specialist,RAMP Technology Group Inc.,British Columbia,"Surrey, British Columbia","GITHUB, AWS, SQL",Senior,In-Person,Technology,95680
Senior Supply Chain Data Analysts,Analyst,Nordia,Quebec,"Laval, Quebec",No Specification,ANY,In-Person,Others,77750
Business and Technical Analysts,Business Analyst,FleetOptics Inc,Ontario,"Mississauga, Ontario","POWER BI, EXCEL",ANY,In-Person,Others,75361.795
Business and Marketing Analysts,Analyst,University of Toronto,Ontario,"Toronto, Ontario","SAS, BIG DATA, R",ANY,In-Person,Technology,52731.78
Financial and Operational Analysts,Analyst,Groupe Optimum Inc.,Quebec,"Montreal, Quebec",EXCEL,ANY,In-Person,Others,100000
Business Systems Analysts,Data Officer,Province of Nova Scotia,Nova Scotia,"Halifax, Nova Scotia",POWER PLATFORM,ANY,In-Person,Others,76510.59
Business Systems Analysts,System Analyst,Scotiabank,Ontario,"Toronto, Ontario","SQL, GAP, EXCEL",ANY,In-Person,Finance,88668.4
Business and Marketing Analysts,Manager,Midland Transport,New Brunswick,"Dieppe, New Brunswick",EXCEL,Senior,In-Person,Real Estate,76000
Senior Business Intelligence Analysts,Data Specialist,Tolko Industries Ltd.,British Columbia,"Vernon, British Columbia","FABRIC, SSIS, SQL, DATABRICKS, AZURE, SSRS",Senior,In-Person,Others,92750
Senior Supply Chain Data Analysts,Analyst,Bombardier,Quebec,"Dorval, Quebec",No Specification,Senior,In-Person,Others,77750
Senior Business Analysts,Business Analyst,Teknaform Inc.,Ontario,"Bolton, Ontario",EXCEL,Senior,In-Person,Others,100000
Senior Business Analysts,Business Analyst,Ivey Business School Foundation,Ontario,"London, Ontario",SQL,Senior,In-Person,Education,93150
Senior Business Intelligence Analysts,Business Analyst,Global Excel Management,Quebec,"Sherbrooke, Quebec","GENESYS, EXCEL",ANY,In-Person,Others,78150
Business and Marketing Analysts,Analyst,OMERS,Ontario,"Toronto, Ontario","POWER BI, EXCEL, SQL",ANY,In-Person,Others,76000
Senior Supply Chain Data Analysts,Analyst,EPCOR,Alberta,"Edmonton, Alberta","POWER BI, EXCEL",ANY,In-Person,Others,118372.8
Business and Marketing Analysts,Analyst,OLIVER Agency - North America,Ontario,"Toronto, Ontario","TABLEAU, POWER BI, SQL, EXCEL, VBA, PYTHON, R",ANY,In-Person,Others,76000
Business and Marketing Analysts,Analyst,Wipro Comnet Inc.,Ontario,"Brampton, Ontario",DATABASE,ANY,In-Person,Others,79040
Business and Marketing Analysts,Analyst,ARYZE Developments Inc.,British Columbia,"Victoria, British Columbia",EXCEL,ANY,In-Person,Construction,76500
Business Systems Analysts,System Analyst,AIR TRAIN FREIGHT SYSTEMS INC,Ontario,"Mississauga, Ontario",No Specification,ANY,In-Person,Transportation,59072
Financial and Operational Analysts,Analyst,Flair Airlines Ltd.,British Columbia,"Vancouver, British Columbia",CRYSTAL,ANY,In-Person,Others,63229
Business and Marketing Analysts,Business Analyst,TC Energie,Alberta,"Calgary, Alberta","POWER BI, POWER PLATFORM",ANY,In-Person,Others,76000
Senior Business Analysts,Analyst,Lululemon,British Columbia,"Vancouver, British Columbia","PYTHON, SQL, POWER BI, R",ANY,In-Person,Others,122300
Business Systems Analysts,System Analyst,STAR TECH INFOSYSTEMS LTD.,Alberta,"Calgary, Alberta",C,ANY,In-Person,Technology,98176
Senior Supply Chain Data Analysts,Manager,"Acuren Inspection, Inc.",Alberta,"Edmonton, Alberta",No Specification,Senior,In-Person,Others,77750
Senior Business Intelligence Analysts,Analyst,Maggas Medical Inc.,Ontario,"North York, Ontario",EXCEL,ANY,In-Person,Healthcare,60000
Senior Supply Chain Data Analysts,Analyst,Collins Aerospace,Ontario,"Oakville, Ontario",EXCEL,Senior,In-Person,Aerospace,77750
Business Systems Analysts,System Analyst,PressReader,British Columbia,"Richmond, British Columbia","POWER PLATFORM, POWER BI, EXCEL, DATABASE",ANY,In-Person,Media,77500
Senior Business Intelligence Analysts,Manager,TD Bank,Ontario,"Toronto, Ontario","R, C",Senior,In-Person,Finance,78150
Senior Business Intelligence Analysts,Manager,TD Bank,Ontario,"Toronto, Ontario",No Specification,Senior,In-Person,Finance,78150
Senior Supply Chain Data Analysts,Lead,Magic Leap - Multiple Locations,Remote,Remote,"C#, DATABASE",Senior,Remote,Others,77750
Financial and Operational Analysts,Analyst,City of Richmond BC,British Columbia,"Richmond, British Columbia",EXCEL,ANY,In-Person,Technology,90875.2
Senior Supply Chain Data Analysts,Analyst,SAIT Polytechnic,Alberta,"Calgary, Alberta",EXCEL,ANY,In-Person,Technology,75000
Systems and Data Analysts,Analyst,FCM,Remote,Remote,POWER BI,ANY,Remote,Others,87000
Senior Business Intelligence Analysts,Data Analyst,The City of Vancouver,British Columbia,"Vancouver, British Columbia","POWER BI, EXCEL, BIG DATA, SQL",ANY,In-Person,Technology,95357.6
Business and Technical Analysts,Data Analyst,BC Public Service,British Columbia,"Burnaby, British Columbia","PYTHON, SQL, R",ANY,In-Person,Service,74541.695
Senior Data Analysts,Data Analyst,Fraser Health,British Columbia,"Surrey, British Columbia","SQL, SAS, R, TABLEAU, VBSCRIPT, POWER BI, PYTHON",ANY,In-Person,Healthcare,96636.8
Senior Data Analysts,Analyst,TransLink,British Columbia,"Vancouver, British Columbia",C,ANY,In-Person,Others,43720.28
Business Systems Analysts,Analyst,Medavie Blue Cross,Remote,Remote,"POWER BI, SQL",ANY,Remote,Healthcare,88668.4
Systems and Data Analysts,Intern,MacEwan University,Alberta,"Edmonton, Alberta","DATABASE, POWER BI, SQL",ANY,In-Person,Technology,158640
Senior Business Intelligence Analysts,Developer,Novartis,Quebec,"Montreal, Quebec","POWER BI, SQL, ALTERYX, SNOWFLAKE, DATABASE",ANY,In-Person,Others,78150
Senior Supply Chain Data Analysts,Analyst,AGF Management Limited,Ontario,"Toronto, Ontario","EAGLE, SQL, EXCEL, VBA, DATABASE",Mid,In-Person,Technology,43720.28
Senior Data Analysts,Data Analyst,Nova Scotia School Boards (NSSB),Nova Scotia,"Berwick, Nova Scotia",EXCEL,ANY,In-Person,Education,52347.5
Senior Data Analysts,Quantitative Analyst,The Mustard Seed Society,Alberta,"Calgary, Alberta","TABLEAU, SQL, PHP, EXCEL, POWER BI, PYTHON, VBA, R",ANY,In-Person,Others,77500
Systems and Data Analysts,Data Analyst,City of Edmonton,Alberta,"Edmonton, Alberta","POWER BI, EXCEL",Junior,In-Person,Technology,91367.745
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,New Brunswick,"Remote in Moncton, New Brunswick","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Business and Technical Analysts,Analyst,indikor.com,Remote,Remote,"SQL, GITHUB, C#, GITLAB, JAVASCRIPT",Junior,Remote,Others,75361.795
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Newfoundland and Labrador,"Remote in Mount Pearl, Newfoundland and Labrador","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Ontario,"Remote in Milton, Ontario","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Systems and Data Analysts,Analyst,Canadian Institute for Health Information,Ontario,"Ottawa, Ontario","PYTHON, R, MACHINE LEARNING",Senior,In-Person,Technology,82720
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Quebec,"Remote in Boucherville, Quebec","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Senior Data Analysts,Data Analyst,PartnerRe,Ontario,"Toronto, Ontario","VBA, SQL, POWER BI, ALTERYX",ANY,In-Person,Others,77500
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Ontario,"Remote in Woodstock, Ontario","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Business Systems Analysts,System Analyst,BMO Financial Group,Ontario,"Toronto, Ontario","DATABASE, SQL",ANY,In-Person,Finance,106700
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Ontario,"Remote in Ottawa, Ontario","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Senior Business Analysts,Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),Ontario,"Toronto, Ontario","SNOWFLAKE, SQL, EAGLE",Senior,In-Person,Healthcare,43720.28
Systems and Data Analysts,Data Analyst,Longo's,Ontario,"Vaughan, Ontario","EXCEL, FACTOR",ANY,In-Person,Others,43720.28
Senior Supply Chain Data Analysts,Business Analyst,Canadian Tire Corporation,Ontario,"Mississauga, Ontario","POWER BI, TABLEAU, EXCEL, SQL",ANY,In-Person,Others,43720.28
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,British Columbia,"Remote in Kelowna, British Columbia","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Nova Scotia,"Remote in Lakeside, Nova Scotia","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Business and Marketing Analysts,Business Analyst,TC Energy,Alberta,"Calgary, Alberta","POWER BI, POWER PLATFORM",ANY,In-Person,Energy,76000
Senior Supply Chain Data Analysts,Data Analyst,PartnerRe,Ontario,"Toronto, Ontario","VBA, SQL, ALTERYX",ANY,In-Person,Others,77750
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Ontario,"Remote in Mississauga, Ontario","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Senior Supply Chain Data Analysts,Analyst,Canadian Tire Corporation,Ontario,"Toronto, Ontario","POWER BI, EXCEL, SQL",ANY,In-Person,Others,43720.28
Senior Supply Chain Data Analysts,Business Analyst,Canadian Tire Corporation,Ontario,"Mississauga, Ontario","TABLEAU, SQL, EXCEL, POWER BI, PYTHON",ANY,In-Person,Others,43720.28
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Manitoba,"Remote in Winnipeg, Manitoba","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Business and Marketing Analysts,Analyst,CIBC,Ontario,"Toronto, Ontario",EXCEL,ANY,In-Person,Others,76000
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Saskatchewan,"Remote in Regina, Saskatchewan","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Senior Business Intelligence Analysts,Data Associate,RSM US LLP,British Columbia,"Vancouver, British Columbia","SQL, DATABASE, EXCEL, SQL, HTML, DATABASE",Mid,In-Person,Others,69962.5
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,British Columbia,"Remote in Victoria, British Columbia","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Database Analysts,Programmer,University of British Columbia,British Columbia,"Vancouver, British Columbia","SQL, DATABASE, TABLEAU, DATABASE, POWER BI, SSRS, C#, QLIKVIEW, EXCEL",ANY,In-Person,Technology,43720.28
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,British Columbia,"Remote in Port Coquitlam, British Columbia","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
Financial and Operational Analysts,Analyst,SYSCO FOOD SERVICES,Ontario,"Remote in Toronto, Ontario","MAPLE, EXCEL, SQL",ANY,Remote,Service,69309.5
